segment_dur_uttr,c_type_f,speakerSegtype,languageSegtype,segment_type_o,language,language_f,speaker_f,dur,ul,ll,model
0.08636470093795075,stop,mn_tw_11.consonant,Taiwan Mandarin.consonant,consonant,Taiwan Mandarin,Taiwan Mandarin,mn_tw_11,0.08459007111459643,0.08628332516668366,0.0828968170625092,cv_mod_baseline
0.08745669191919173,stop,mn_tw_11.consonant,Taiwan Mandarin.consonant,consonant,Taiwan Mandarin,Taiwan Mandarin,mn_tw_11,0.08550637369613509,0.08720652382463602,0.08380622356763416,cv_mod_baseline
0.0885486829004327,stop,mn_tw_11.consonant,Taiwan Mandarin.consonant,consonant,Taiwan Mandarin,Taiwan Mandarin,mn_tw_11,0.08642735031477138,0.08813362837498177,0.08472107225456098,cv_mod_baseline
0.08964067388167368,stop,mn_tw_11.consonant,Taiwan Mandarin.consonant,consonant,Taiwan Mandarin,Taiwan Mandarin,mn_tw_11,0.08735185070785509,0.08906383821888315,0.08563986319682702,cv_mod_baseline
0.09073266486291466,stop,mn_tw_11.consonant,Taiwan Mandarin.consonant,consonant,Taiwan Mandarin,Taiwan Mandarin,mn_tw_11,0.08827850178138724,0.08999654823185194,0.08656045533092255,cv_mod_baseline
0.09182465584415564,stop,mn_tw_11.consonant,Taiwan Mandarin.consonant,consonant,Taiwan Mandarin,Taiwan Mandarin,mn_tw_11,0.08920583225169969,0.0909311785389977,0.08748048596440168,cv_mod_baseline
0.09291664682539662,stop,mn_tw_11.consonant,Taiwan Mandarin.consonant,consonant,Taiwan Mandarin,Taiwan Mandarin,mn_tw_11,0.09013241140593169,0.09186700143986525,0.08839782137199813,cv_mod_baseline
0.0940086378066376,stop,mn_tw_11.consonant,Taiwan Mandarin.consonant,consonant,Taiwan Mandarin,Taiwan Mandarin,mn_tw_11,0.09105699601912313,0.0928030706543668,0.08931092138387947,cv_mod_baseline
0.09510062878787859,stop,mn_tw_11.consonant,Taiwan Mandarin.consonant,consonant,Taiwan Mandarin,Taiwan Mandarin,mn_tw_11,0.09197860236358817,0.0937381329877256,0.09021907173945073,cv_mod_baseline
0.09619261976911955,stop,mn_tw_11.consonant,Taiwan Mandarin.consonant,consonant,Taiwan Mandarin,Taiwan Mandarin,mn_tw_11,0.09289657641481933,0.09467077994181283,0.09112237288782582,cv_mod_baseline
0.09728461075036055,stop,mn_tw_11.consonant,Taiwan Mandarin.consonant,consonant,Taiwan Mandarin,Taiwan Mandarin,mn_tw_11,0.09381064162336729,0.09559981279523982,0.09202147045149475,cv_mod_baseline
0.09837660173160151,stop,mn_tw_11.consonant,Taiwan Mandarin.consonant,consonant,Taiwan Mandarin,Taiwan Mandarin,mn_tw_11,0.09472091432161084,0.09652463355991261,0.09291719508330906,cv_mod_baseline
0.0994685927128425,stop,mn_tw_11.consonant,Taiwan Mandarin.consonant,consonant,Taiwan Mandarin,Taiwan Mandarin,mn_tw_11,0.09562788452542645,0.097445521722358,0.0938102473284949,cv_mod_baseline
0.10056058369408347,stop,mn_tw_11.consonant,Taiwan Mandarin.consonant,consonant,Taiwan Mandarin,Taiwan Mandarin,mn_tw_11,0.0965323635528439,0.09836368905531276,0.09470103805037505,cv_mod_baseline
0.10165257467532446,stop,mn_tw_11.consonant,Taiwan Mandarin.consonant,consonant,Taiwan Mandarin,Taiwan Mandarin,mn_tw_11,0.09743540241542992,0.09928107614185602,0.09558972868900381,cv_mod_baseline
0.10274456565656542,stop,mn_tw_11.consonant,Taiwan Mandarin.consonant,consonant,Taiwan Mandarin,Taiwan Mandarin,mn_tw_11,0.0983381752944723,0.10019993333627805,0.09647641725266654,cv_mod_baseline
0.10383655663780642,stop,mn_tw_11.consonant,Taiwan Mandarin.consonant,consonant,Taiwan Mandarin,Taiwan Mandarin,mn_tw_11,0.09924173778596593,0.10112225325926447,0.09736122231266739,cv_mod_baseline
0.10492854761904738,stop,mn_tw_11.consonant,Taiwan Mandarin.consonant,consonant,Taiwan Mandarin,Taiwan Mandarin,mn_tw_11,0.1001469515519019,0.10204929427384168,0.09824460882996211,cv_mod_baseline
0.10602053860028837,stop,mn_tw_11.consonant,Taiwan Mandarin.consonant,consonant,Taiwan Mandarin,Taiwan Mandarin,mn_tw_11,0.10105444951453159,0.10298131257084418,0.099127586458219,cv_mod_baseline
0.10711252958152934,stop,mn_tw_11.consonant,Taiwan Mandarin.consonant,consonant,Taiwan Mandarin,Taiwan Mandarin,mn_tw_11,0.10196452315822921,0.10391759211667612,0.1000114541997823,cv_mod_baseline
0.10820452056277033,stop,mn_tw_11.consonant,Taiwan Mandarin.consonant,consonant,Taiwan Mandarin,Taiwan Mandarin,mn_tw_11,0.1028770464083941,0.10485671905796162,0.10089737375882657,cv_mod_baseline
0.1092965115440113,stop,mn_tw_11.consonant,Taiwan Mandarin.consonant,consonant,Taiwan Mandarin,Taiwan Mandarin,mn_tw_11,0.10379142213810358,0.10579702254528374,0.10178582173092342,cv_mod_baseline
0.11038850252525229,stop,mn_tw_11.consonant,Taiwan Mandarin.consonant,consonant,Taiwan Mandarin,Taiwan Mandarin,mn_tw_11,0.10470656656097532,0.10673698679379753,0.10267614632815311,cv_mod_baseline
0.11148049350649325,stop,mn_tw_11.consonant,Taiwan Mandarin.consonant,consonant,Taiwan Mandarin,Taiwan Mandarin,mn_tw_11,0.10562093260726244,0.10767549460706906,0.10356637060745581,cv_mod_baseline
0.11257248448773424,stop,mn_tw_11.consonant,Taiwan Mandarin.consonant,consonant,Taiwan Mandarin,Taiwan Mandarin,mn_tw_11,0.10653257237088512,0.10861182154688957,0.10445332319488067,cv_mod_baseline
0.1136644754689752,stop,mn_tw_11.consonant,Taiwan Mandarin.consonant,consonant,Taiwan Mandarin,Taiwan Mandarin,mn_tw_11,0.10743924855583305,0.1095454437116419,0.10533305340002419,cv_mod_baseline
0.1147564664502162,stop,mn_tw_11.consonant,Taiwan Mandarin.consonant,consonant,Taiwan Mandarin,Taiwan Mandarin,mn_tw_11,0.10833857255005418,0.1104756466017751,0.10620149849833325,cv_mod_baseline
0.11584845743145716,stop,mn_tw_11.consonant,Taiwan Mandarin.consonant,consonant,Taiwan Mandarin,Taiwan Mandarin,mn_tw_11,0.10922813410406243,0.11140097856005701,0.10705528964806785,cv_mod_baseline
0.11694044841269816,stop,mn_tw_11.consonant,Taiwan Mandarin.consonant,consonant,Taiwan Mandarin,Taiwan Mandarin,mn_tw_11,0.11010566158923474,0.11231902873291728,0.10789229444555219,cv_mod_baseline
0.11803243939393912,stop,mn_tw_11.consonant,Taiwan Mandarin.consonant,consonant,Taiwan Mandarin,Taiwan Mandarin,mn_tw_11,0.11096917190277195,0.11322658019459614,0.10871176361094775,cv_mod_baseline
0.11912443037518011,stop,mn_tw_11.consonant,Taiwan Mandarin.consonant,consonant,Taiwan Mandarin,Taiwan Mandarin,mn_tw_11,0.11181716203084198,0.11412023728955888,0.10951408677212508,cv_mod_baseline
0.12021642135642108,stop,mn_tw_11.consonant,Taiwan Mandarin.consonant,consonant,Taiwan Mandarin,Taiwan Mandarin,mn_tw_11,0.11264870447625178,0.11499717108043873,0.11030023787206482,cv_mod_baseline
0.12130841233766207,stop,mn_tw_11.consonant,Taiwan Mandarin.consonant,consonant,Taiwan Mandarin,Taiwan Mandarin,mn_tw_11,0.11346361313293754,0.11585605040431408,0.111071175861561,cv_mod_baseline
0.12240040331890306,stop,mn_tw_11.consonant,Taiwan Mandarin.consonant,consonant,Taiwan Mandarin,Taiwan Mandarin,mn_tw_11,0.11426434884670536,0.11670078558517737,0.11182791210823335,cv_mod_baseline
0.12349239430014403,stop,mn_tw_11.consonant,Taiwan Mandarin.consonant,consonant,Taiwan Mandarin,Taiwan Mandarin,mn_tw_11,0.11505103553250368,0.11753179384348532,0.11257027722152203,cv_mod_baseline
0.12458438528138502,stop,mn_tw_11.consonant,Taiwan Mandarin.consonant,consonant,Taiwan Mandarin,Taiwan Mandarin,mn_tw_11,0.11582494369211463,0.11835221661025018,0.11329767077397908,cv_mod_baseline
0.12567637626262598,stop,mn_tw_11.consonant,Taiwan Mandarin.consonant,consonant,Taiwan Mandarin,Taiwan Mandarin,mn_tw_11,0.11659075806368437,0.1191713223398179,0.11401019378755083,cv_mod_baseline
0.12676836724386698,stop,mn_tw_11.consonant,Taiwan Mandarin.consonant,consonant,Taiwan Mandarin,Taiwan Mandarin,mn_tw_11,0.11735073832619958,0.11999271421193375,0.1147087624404654,cv_mod_baseline
0.12786035822510794,stop,mn_tw_11.consonant,Taiwan Mandarin.consonant,consonant,Taiwan Mandarin,Taiwan Mandarin,mn_tw_11,0.11810712193368,0.1208191835878317,0.11539506027952831,cv_mod_baseline
0.12895234920634893,stop,mn_tw_11.consonant,Taiwan Mandarin.consonant,consonant,Taiwan Mandarin,Taiwan Mandarin,mn_tw_11,0.11886245726756459,0.12165173819371647,0.1160731763414127,cv_mod_baseline
0.1300443401875899,stop,mn_tw_11.consonant,Taiwan Mandarin.consonant,consonant,Taiwan Mandarin,Taiwan Mandarin,mn_tw_11,0.11961952029921195,0.12249119635486314,0.11674784424356077,cv_mod_baseline
0.1311363311688309,stop,mn_tw_11.consonant,Taiwan Mandarin.consonant,consonant,Taiwan Mandarin,Taiwan Mandarin,mn_tw_11,0.12037982292378957,0.12333819295024907,0.11742145289733007,cv_mod_baseline
0.13222832215007185,stop,mn_tw_11.consonant,Taiwan Mandarin.consonant,consonant,Taiwan Mandarin,Taiwan Mandarin,mn_tw_11,0.12114606602598224,0.12419104227090422,0.11810108978106026,cv_mod_baseline
0.13332031313131285,stop,mn_tw_11.consonant,Taiwan Mandarin.consonant,consonant,Taiwan Mandarin,Taiwan Mandarin,mn_tw_11,0.12191855284682532,0.12504842638654204,0.1187886793071086,cv_mod_baseline
0.1344123041125538,stop,mn_tw_11.consonant,Taiwan Mandarin.consonant,consonant,Taiwan Mandarin,Taiwan Mandarin,mn_tw_11,0.12270040823616535,0.1259081121705002,0.1194927043018305,cv_mod_baseline
0.1355042950937948,stop,mn_tw_11.consonant,Taiwan Mandarin.consonant,consonant,Taiwan Mandarin,Taiwan Mandarin,mn_tw_11,0.12349176919532553,0.12676889729662252,0.12021464109402853,cv_mod_baseline
0.13659628607503577,stop,mn_tw_11.consonant,Taiwan Mandarin.consonant,consonant,Taiwan Mandarin,Taiwan Mandarin,mn_tw_11,0.12429241838425649,0.12763037043402328,0.12095446633448971,cv_mod_baseline
0.13768827705627676,stop,mn_tw_11.consonant,Taiwan Mandarin.consonant,consonant,Taiwan Mandarin,Taiwan Mandarin,mn_tw_11,0.12509967060389807,0.12849327705596397,0.12170606415183215,cv_mod_baseline
0.13878026803751772,stop,mn_tw_11.consonant,Taiwan Mandarin.consonant,consonant,Taiwan Mandarin,Taiwan Mandarin,mn_tw_11,0.12590685108862967,0.12935958436827086,0.1224541178089885,cv_mod_baseline
0.13987225901875872,stop,mn_tw_11.consonant,Taiwan Mandarin.consonant,consonant,Taiwan Mandarin,Taiwan Mandarin,mn_tw_11,0.126713983750088,0.13022913169844608,0.12319883580172991,cv_mod_baseline
0.14096424999999968,stop,mn_tw_11.consonant,Taiwan Mandarin.consonant,consonant,Taiwan Mandarin,Taiwan Mandarin,mn_tw_11,0.12752280937061355,0.13110134033271428,0.12394427840851281,cv_mod_baseline
0.032857142857142786,stop,mn_tw_11.consonant,Taiwan Mandarin.vowel,vowel,Taiwan Mandarin,Taiwan Mandarin,mn_tw_11,0.028006491839377826,0.0319485442631419,0.02406443941561375,cv_mod_baseline
