vowel_length_contrast,language,phone_dur_uttr,model,syll_pos,derivative_cs,derivative_cl,eff_size,phone_dur_cs,phone_dur_cl,derivative_nc,phone_dur_nc
none,Sadu,0.09033333333333313,vln_mod_mono_baseline,final,NA,NA,NA,NA,NA,1.1274743819540411,0.1005337686822336
none,Gurindji,0.0702000000000074,vln_mod_mono_baseline,nonfinal,NA,NA,NA,NA,NA,1.1270610979328133,0.07998201235136487
none,Gurindji,0.0702000000000074,vln_mod_mono_baseline,final,NA,NA,NA,NA,NA,1.1270610979328133,0.07998201235136487
none,Nuu,0.0890909090909088,vln_mod_mono_baseline,nonfinal,NA,NA,NA,NA,NA,1.118758081529947,0.09337694486251079
none,Nuu,0.0890909090909088,vln_mod_mono_baseline,final,NA,NA,NA,NA,NA,1.118758081529947,0.09337694486251079
restricted,Mojeno_Trinitario,0.0928888888888894,vln_mod_mono_baseline,final,NA,NA,NA,NA,NA,1.1137247997807798,0.0954143025993203
none,Jejuan,0.07049152542372868,vln_mod_mono_baseline,nonfinal,NA,NA,NA,NA,NA,1.0975283260243884,0.07327300954930263
none,Jejuan,0.07049152542372868,vln_mod_mono_baseline,final,NA,NA,NA,NA,NA,1.0975283260243884,0.07327300954930263
restricted,Ruuli,0.0696545454545437,vln_mod_mono_baseline,final,NA,NA,NA,NA,NA,1.0611854319040326,0.07555206543571802
none,Sanzhi_Dargwa,0.08172131147540972,vln_mod_mono_baseline,nonfinal,NA,NA,NA,NA,NA,1.0276067394809907,0.08092357066375734
none,Sanzhi_Dargwa,0.08172131147540972,vln_mod_mono_baseline,final,NA,NA,NA,NA,NA,1.0276067394809907,0.08092357066375734
none,English,0.0808645833333325,vln_mod_mono_baseline,nonfinal,NA,NA,NA,NA,NA,1.0268915936753054,0.09610014383252448
none,English,0.0808645833333325,vln_mod_mono_baseline,final,NA,NA,NA,NA,NA,1.0268915936753054,0.09610014383252448
none,Veraa,0.06339999999999986,vln_mod_mono_baseline,nonfinal,NA,NA,NA,NA,NA,0.9846036006551095,0.06855456288015331
none,Veraa,0.06339999999999986,vln_mod_mono_baseline,final,NA,NA,NA,NA,NA,0.9846036006551095,0.06855456288015331
restricted,Kamas,0.11083333333333864,vln_mod_mono_height,nonfinal,1.1505738782404684,1.4149354806205494,0.264361602380081,0.10387697040339254,0.18045342657688618,NA,NA
unrestricted,Gubeeher,0.06458333333333262,vln_mod_mono_height,nonfinal,1.0135847199945758,1.26103927649579,0.24745455650121428,0.06433088704765641,0.10017589394279869,NA,NA
unrestricted,Gubeeher,0.06458333333333262,vln_mod_mono_height,final,1.0135847199945758,1.26103927649579,0.24745455650121428,0.06433088704765641,0.10017589394279869,NA,NA
unrestricted,Arapaho,0.08819999999999709,vln_mod_mono_height,nonfinal,0.8247556908931308,0.9588428835651808,0.13408719267204994,0.08887639534677665,0.1441899439544453,NA,NA
unrestricted,Arapaho,0.08819999999999709,vln_mod_mono_height,final,0.8247556908931308,0.9588428835651808,0.13408719267204994,0.08887639534677665,0.1441899439544453,NA,NA
restricted,Ruuli,0.0696545454545437,vln_mod_mono_height,nonfinal,1.2189639053281631,1.33975097986605,0.12078707453788695,0.06764992598344526,0.10817222119137558,NA,NA
unrestricted,Bora,0.08342857142856917,vln_mod_mono_height,nonfinal,0.9246324931178052,1.0410491903911634,0.11641669727335824,0.07374956132310453,0.12552999846257148,NA,NA
unrestricted,Bora,0.08342857142856917,vln_mod_mono_height,final,0.9246324931178052,1.0410491903911634,0.11641669727335824,0.07374956132310453,0.12552999846257148,NA,NA
unrestricted,Resigaro,0.09364285714285696,vln_mod_mono_height,nonfinal,0.9459975841514812,1.0607226354999444,0.11472505134846323,0.08211786920949077,0.14150223986636445,NA,NA
unrestricted,Resigaro,0.09364285714285696,vln_mod_mono_height,final,0.9459975841514812,1.0607226354999444,0.11472505134846323,0.08211786920949077,0.14150223986636445,NA,NA
unrestricted,Beja,0.07982608695652167,vln_mod_mono_height,nonfinal,1.0599688314671951,1.1405744133901052,0.08060558192291012,0.07521895971477584,0.12425599414267002,NA,NA
unrestricted,Beja,0.07982608695652167,vln_mod_mono_height,final,1.0599688314671951,1.1405744133901052,0.08060558192291012,0.07521895971477584,0.12425599414267002,NA,NA
unrestricted,Dolgan,0.07919444444444441,vln_mod_mono_height,nonfinal,1.088838192025765,1.1643939399079706,0.07555574788220554,0.07262773322925263,0.12117222375711016,NA,NA
unrestricted,Dolgan,0.07919444444444441,vln_mod_mono_height,final,1.088838192025765,1.1643939399079706,0.07555574788220554,0.07262773322925263,0.12117222375711016,NA,NA
unrestricted,Movima,0.07758620689654977,vln_mod_mono_height,nonfinal,1.141289339244178,1.208390378464319,0.06710103922014099,0.0755510106838649,0.12282170021451343,NA,NA
unrestricted,Movima,0.07758620689654977,vln_mod_mono_height,final,1.141289339244178,1.208390378464319,0.06710103922014099,0.0755510106838649,0.12282170021451343,NA,NA
unrestricted,Fanbyak,0.0784722222222223,vln_mod_mono_height,nonfinal,1.1132824260018381,1.179711398781258,0.06642897277941984,0.08237253870706401,0.13034867144102766,NA,NA
unrestricted,Fanbyak,0.0784722222222223,vln_mod_mono_height,final,1.1132824260018381,1.179711398781258,0.06642897277941984,0.08237253870706401,0.13034867144102766,NA,NA
unrestricted,Svan,0.07960784313725494,vln_mod_mono_height,nonfinal,1.1235315968671777,1.1753891372547898,0.05185754038761203,0.0879043084827056,0.1367716178175662,NA,NA
unrestricted,Svan,0.07960784313725494,vln_mod_mono_height,final,1.1235315968671777,1.1753891372547898,0.05185754038761203,0.0879043084827056,0.1367716178175662,NA,NA
