language,phone_dur_uttr_med,model.x,density_area,derivative_v_w_area,derivative_c_w_area,delta_deriv_w_area,phone_dur_v_w_area,phone_dur_c_w_area,eff_size_dw,derivative_v_dw,derivative_c_dw,phone_dur_v_dw,phone_dur_c_dw,phone_dur_uttr,model.y,derivative_c,derivative_v,eff_size_med,phone_dur_v,phone_dur_c
Sanzhi_Dargwa,0.08172131147540972,cv_mod_baseline,18.495298767787748,20.86502571663832,16.818843103928536,4.046182612709777,1.4429608370276046,1.4720097153522214,0.21876816717104308,1.128125908026844,0.9093577408558005,0.07801770899428404,0.07958831775758823,0.08172131147540972,cv_mod_baseline,0.9356521043986099,1.0901861120200529,0.15453400762144298,0.08151475427221365,0.08167476691992516
Fanbyak,0.0784722222222223,cv_mod_baseline,17.242294633080515,19.116439875288666,15.346609586577578,3.769830288711084,1.4982768401014062,1.2760067128537125,0.21863854950479783,1.1086946535881874,0.8900561040833894,0.0868954435581248,0.07400446054352922,0.0784722222222223,cv_mod_baseline,0.8683876841675264,1.1307218316107814,0.262334147443255,0.08530457190494299,0.07279537590977049
English,0.0808645833333325,cv_mod_baseline,26.20211317939212,28.060182591832532,23.273554639778904,4.786627952053627,2.7166655890092986,1.763992289476445,0.1826809890974097,1.0709129603295422,0.8882319712321326,0.10368116382101378,0.06732252003490388,0.0808645833333325,cv_mod_baseline,0.8449006363480116,1.113482981605518,0.26858234525750646,0.10265922324786529,0.06595896037585486
Nuu,0.0890909090909088,cv_mod_baseline,25.778392530670256,28.11412130786539,23.477516269196354,4.6366050386690345,2.533694754145201,2.2574910809311346,0.17986400948595066,1.0906080072454543,0.9107439977595035,0.09828753872572532,0.08757299658018818,0.0890909090909088,cv_mod_baseline,0.878476106057402,1.1220671459688525,0.24359103991145048,0.09377700819724932,0.08420323547800111
Veraa,0.06339999999999986,cv_mod_baseline,15.849627423994606,16.46200452370546,15.13868553086081,1.323318992844653,1.1104878602536932,0.9580229006072473,0.08349211987414243,1.0386366873699366,0.9551445674957943,0.0700639725178988,0.06044450604289317,0.06339999999999986,cv_mod_baseline,0.9764502803517594,1.0163247480501347,0.03987446769837533,0.0685427513073107,0.059608997436280876
Kamas,0.11083333333333864,cv_mod_type,18.372955526608838,21.919420783178257,13.800657244277367,8.118763538900891,2.6158340272467346,1.9860564453308314,0.4418866375169091,1.1930263887828614,0.7511397512659523,0.1423741555058098,0.10809673176721639,0.11083333333333864,cv_mod_type,0.6943746831162834,1.3060482617814895,0.6116735786652061,0.14099487351886325,0.10766417665662975
Ruuli,0.0696545454545437,cv_mod_type,21.223662385867442,23.29746676641514,15.920734536023371,7.376732230391763,1.9734590191026224,1.2548687047464848,0.3475711258629817,1.097711900182158,0.7501407743191759,0.09298390556837743,0.05912592661585521,0.0696545454545437,cv_mod_type,0.7623886192908991,1.1002970339237805,0.33790841463288146,0.09127778170841835,0.05867783553246636
Mojeno_Trinitario,0.0928888888888894,cv_mod_type,22.845466716577487,25.749472817348593,17.851260859784514,7.898211957564096,2.7174666841548776,2.052155369960486,0.34572337941482595,1.1271152013131716,0.7813918218983463,0.11894993076166777,0.08982768421497683,0.0928888888888894,cv_mod_type,0.677153259224017,1.1929429833794636,0.5157897241554465,0.11846999587070307,0.09035364474338771
Yongning_Na,0.08989743589743518,cv_mod_type,18.10612266857695,20.607362651813403,14.600009302649246,6.007353349164153,2.1492437116740186,1.4918494485364615,0.33178574226661306,1.1381433247206116,0.8063575824539982,0.11870259309598162,0.08239474987792697,0.08989743589743518,cv_mod_type,0.7511504115473855,1.1646557883135955,0.41350537676621,0.11863175346498567,0.08237658089712663
Urum,0.0753921568627451,cv_mod_type,18.304909883589353,20.61335653924128,15.074042424847423,5.5393141143938625,1.9670966446903198,1.2702364553969199,0.30261356923477384,1.1261107905109922,0.8234972212762186,0.10746278770013797,0.06939320998983488,0.0753921568627451,cv_mod_type,0.80803194263801,1.1576869486535912,0.3496550060155812,0.10490367040905468,0.06885361141983785
Dalabon,0.06889473684210363,cv_mod_type,14.802305142076902,16.441253747789133,12.396511780099724,4.0447419676894025,1.4770581405114462,0.9460346599663466,0.27325081660368256,1.1107225253081272,0.8374717087044442,0.09978568380628594,0.06391130644085675,0.06889473684210363,cv_mod_type,0.8614867245824165,1.1234416613912224,0.2619549368088059,0.09681140839844823,0.06300511298246404
Yali,0.05786206896551715,cv_mod_type,16.14648635917363,17.492286413659485,13.101046800025694,4.391239613633787,1.3150319565481885,0.8706391662731058,0.27196255061020774,1.0833494064621212,0.8113868558519131,0.08144384649983324,0.05392127716866722,0.05786206896551715,cv_mod_type,0.7646312306053282,1.1268776926547375,0.36224646204940925,0.07915226677211533,0.052820535424644224
Jejuan,0.07049152542372868,cv_mod_type,18.475442953849292,19.96464311637041,16.04208410509602,3.922559011274383,1.7742849124543865,1.2333639076545442,0.2123120415068117,1.0806043008679718,0.8682922593611597,0.09603476987731548,0.06675693301294176,0.07049152542372868,cv_mod_type,0.895395362773499,1.06683372928007,0.17143836650657107,0.09333513567667563,0.06535024820357199
Gurindji,0.0702000000000074,cv_mod_type,18.83293767864705,19.95138294278555,16.128481936212957,3.8229010065725886,1.9125506838731725,1.0946627638763784,0.20299015861487332,1.0593877218319798,0.8563975632171061,0.10155349720302209,0.05812490767797297,0.0702000000000074,cv_mod_type,0.8137735301074756,1.0986915842465805,0.284918054139105,0.10051050961022241,0.058002733038166054
Movima,0.07758620689654977,cv_mod_type,18.28329630061,18.910443409031053,15.287312121276324,3.6231312877547284,1.8252199459292926,1.422781342693532,0.19816619652080172,1.0343016433201997,0.836135446799398,0.09982991665832142,0.07781864491503442,0.07758620689654977,cv_mod_type,0.8457550492417809,1.0204321797355753,0.1746771304937944,0.09836412851942078,0.0769259087964678
Lower_Sorbian,0.09714705882353045,cv_mod_type,33.03602596773851,35.57221510395498,29.278801498019867,6.293413605935129,4.417167168808541,2.864429865411497,0.19050153344960413,1.0767704063041117,0.8862688728545081,0.1337075825379889,0.08670624814887752,0.09714705882353045,cv_mod_type,0.8976103763695953,1.1161670222357145,0.21855664586611923,0.13391878413136063,0.08691609932264428
Sadu,0.09033333333333313,cv_mod_type,29.046606613330443,31.186589487843612,25.933795612070845,5.252793875772763,3.6866869153844313,2.1810314647673787,0.18084019058398662,1.0736741094407587,0.8928339188567719,0.12692315369095436,0.07508730688583884,0.09033333333333313,cv_mod_type,0.9170658123038855,1.0783932604230273,0.1613274481191418,0.12455209877224176,0.07360787508519376
English,0.0808645833333325,cv_mod_type,26.20211317939212,28.04231265130476,23.375831091375243,4.666481559929527,3.1963139757051993,1.7079973798368266,0.17809561877626343,1.0702309565382668,0.8921353377620038,0.12198687769271564,0.06518548210760959,0.0808645833333325,cv_mod_type,0.8496853019228645,1.1274501582287932,0.27776485630592873,0.12098808775921051,0.06357611587053719
