language,syll_pos,eff_size_dw,derivative_cs_dw,derivative_cl_dw,derivative_nc_dw,phone_dur_cl_dw,phone_dur_cs_dw,phone_dur_nc_dw,vowel_length_contrast,phone_dur_uttr,model,derivative_cs,derivative_cl,eff_size_med,phone_dur_cs,phone_dur_cl,derivative_nc,phone_dur_nc
Veraa,nonfinal,NA,NA,NA,0.989465770379875,NA,NA,0.07020460534283297,none,0.06339999999999986,vln_mod_mono_full,NA,NA,NA,NA,NA,1.2002184021802087,0.06404478210695486
Veraa,final,NA,NA,NA,0.989465770379875,NA,NA,0.07020460534283297,none,0.06339999999999986,vln_mod_mono_full,NA,NA,NA,NA,NA,0.9295928445181012,0.06979381586066
Yali,nonfinal,NA,NA,NA,1.1143137739565119,NA,NA,0.06481106864695353,none,0.05786206896551715,vln_mod_mono_full,NA,NA,NA,NA,NA,1.3745469561854406,0.05840430581119879
Yali,final,NA,NA,NA,1.1143137739565119,NA,NA,0.06481106864695353,none,0.05786206896551715,vln_mod_mono_full,NA,NA,NA,NA,NA,1.0965037182240067,0.06509364075220449
Yongning_Na,nonfinal,NA,NA,NA,1.2273428705093572,NA,NA,0.09566381079435923,none,0.08989743589743518,vln_mod_mono_full,NA,NA,NA,NA,NA,1.1534803396866522,0.09142718726794341
Yongning_Na,final,NA,NA,NA,1.2273428705093572,NA,NA,0.09566381079435923,none,0.08989743589743518,vln_mod_mono_full,NA,NA,NA,NA,NA,1.2683996708822143,0.096888355609610885
Bora,nonfinal,0.25322052555365226,0.8535395038135959,1.1067600293672488,NA,0.1226716960828998,0.07132899853624074,NA,unrestricted,0.08342857142856917,vln_mod_mono_full,0.8690943618709923,1.01809011079812,0.14899574892712764,0.07215188744305526,0.12405643831017182,NA,NA
Bora,final,0.25322052555365226,0.8535395038135959,1.1067600293672488,NA,0.1226716960828998,0.07132899853624074,NA,unrestricted,0.08342857142856917,vln_mod_mono_full,1.0116328075122638,1.0980754730880449,0.08644266557578106,0.0763363533488816,0.12824090421599818,NA,NA
Resigaro,nonfinal,0.2506883355112394,0.8475897610005325,1.098278096511771,NA,0.1422195275952426,0.08066022034008122,NA,unrestricted,0.09364285714285696,vln_mod_mono_full,0.8993971642916598,1.0384415645090517,0.13904440021739184,0.07934564867881755,0.13893595682690016,NA,NA
Resigaro,final,0.2506883355112394,0.8475897610005325,1.098278096511771,NA,0.1422195275952426,0.08066022034008122,NA,unrestricted,0.09364285714285696,vln_mod_mono_full,1.0064709398811544,1.0956603152920685,0.0891893754109141,0.08546852986234715,0.14505883801042976,NA,NA
Arapaho,nonfinal,0.23292147597647336,0.7673691467729434,1.000290622749417,NA,0.14404981641592998,0.08773960329183772,NA,unrestricted,0.08819999999999709,vln_mod_mono_full,0.7746636219474468,0.9333345006465876,0.15867087869914087,0.08747586428619207,0.14296616152018832,NA,NA
Arapaho,final,0.23292147597647336,0.7673691467729434,1.000290622749417,NA,0.14404981641592998,0.08773960329183772,NA,unrestricted,0.08819999999999709,vln_mod_mono_full,0.9261940046125794,1.0225965381218671,0.09640253350928774,0.09259812892547187,0.14808842615946813,NA,NA
Gubeeher,nonfinal,0.21794244139711097,1.0406315038225866,1.2585739452196976,NA,0.10260915566112996,0.0658166628086879,NA,unrestricted,0.06458333333333262,vln_mod_mono_full,1.13649914969427,1.3498590054803472,0.2133598557860772,0.06212924923765781,0.09789003165761392,NA,NA
Gubeeher,final,0.21794244139711097,1.0406315038225866,1.2585739452196976,NA,0.10260915566112996,0.0658166628086879,NA,unrestricted,0.06458333333333262,vln_mod_mono_full,0.8535654835233331,1.1533808997636896,0.29981541624035657,0.06764861892500663,0.10340940134496275,NA,NA
Kamas,nonfinal,0.21556474893610136,1.0847361540389475,1.3003009029750492,NA,0.18315516469806972,0.10470326225191708,NA,restricted,0.11083333333333864,vln_mod_mono_full,1.198508882106708,1.4529829449849707,0.2544740628782627,0.10364004620873384,0.18091364766037946,NA,NA
Beja,nonfinal,0.17654715274900906,0.9512292551511674,1.1277764079001762,NA,0.1248262968984493,0.07522916669327528,NA,unrestricted,0.07982608695652167,vln_mod_mono_full,1.0335700821633154,1.1344458126916201,0.10087573052830479,0.07346032477343875,0.12257141590599827,NA,NA
Beja,final,0.17654715274900906,0.9512292551511674,1.1277764079001762,NA,0.1248262968984493,0.07522916669327528,NA,unrestricted,0.07982608695652167,vln_mod_mono_full,1.078996748589578,1.159254742647331,0.08025799405775302,0.07715079633570963,0.12626188746826916,NA,NA
Fanbyak,nonfinal,0.13956477025005876,1.012644750282443,1.152209520532502,NA,0.13247251659957618,0.08350108063946492,NA,unrestricted,0.0784722222222223,vln_mod_mono_full,1.1159367348518856,1.190489754582913,0.07455301973102735,0.08019403394702523,0.12822519707365715,NA,NA
Fanbyak,final,0.13956477025005876,1.012644750282443,1.152209520532502,NA,0.13247251659957618,0.08350108063946492,NA,unrestricted,0.0784722222222223,vln_mod_mono_full,1.1125240148945892,1.1862870504755207,0.07376303558093156,0.0837894754370247,0.13182063856365664,NA,NA
Dolgan,nonfinal,0.1358021571445807,1.0353407949394418,1.1711429520840217,NA,0.12135868359562094,0.07282314850796366,NA,unrestricted,0.07919444444444441,vln_mod_mono_full,1.065208255914385,1.1600457755767124,0.09483751966232745,0.07104570419002158,0.11965532773028671,NA,NA
Dolgan,final,0.1358021571445807,1.0353407949394418,1.1711429520840217,NA,0.12135868359562094,0.07282314850796366,NA,unrestricted,0.07919444444444441,vln_mod_mono_full,1.089623286149699,1.1720360930040918,0.08241280685439278,0.07468440641314221,0.12329402995340737,NA,NA
Evenki,nonfinal,0.12847432911619072,1.0365464788986163,1.1650208080148068,NA,0.12233101537210693,0.0717096140895269,NA,unrestricted,0.081155172413793,vln_mod_mono_full,1.0906579321834364,1.1615513779719144,0.070893445788478,0.06970772245315886,0.11986161911702296,NA,NA
Evenki,final,0.12847432911619072,1.0365464788986163,1.1650208080148068,NA,0.12233101537210693,0.0717096140895269,NA,unrestricted,0.081155172413793,vln_mod_mono_full,1.1750325512913662,1.2095169926062965,0.034484441314930336,0.0735449820188339,0.12369887868269806,NA,NA
Ruuli,nonfinal,0.12661118120755815,1.2189569353245446,1.345568116532103,NA,0.1104690654601972,0.06961142006155534,NA,restricted,0.0696545454545437,vln_mod_mono_full,1.273481154255407,1.3800322971051493,0.10655114284974232,0.06778990672296814,0.10826647704367232,NA,NA
Svan,nonfinal,0.11865536199171257,1.0906158397903616,1.2092712017820737,NA,0.1385803163839437,0.08895683546608749,NA,unrestricted,0.07960784313725494,vln_mod_mono_full,1.1065408064756532,1.1727855312493318,0.0662447247736786,0.08647401451589147,0.13541229122830462,NA,NA
Svan,final,0.11865536199171257,1.0906158397903616,1.2092712017820737,NA,0.1385803163839437,0.08895683546608749,NA,unrestricted,0.07960784313725494,vln_mod_mono_full,1.136586839688647,1.1905109152792193,0.05392407559057233,0.09014519623890187,0.13908347295131504,NA,NA
Movima,nonfinal,0.11700092297881766,1.088593256090469,1.2055941790692872,NA,0.12480277186891883,0.07679643604962483,NA,unrestricted,0.07758620689654977,vln_mod_mono_full,1.1520018893955708,1.2239762285410904,0.07197433914551965,0.07403077209087687,0.12134434679112481,NA,NA
Movima,final,0.11700092297881766,1.088593256090469,1.2055941790692872,NA,0.12480277186891883,0.07679643604962483,NA,unrestricted,0.07758620689654977,vln_mod_mono_full,1.1136712624941758,1.1981085641314948,0.084437301637319,0.07759846277509104,0.12491203747533902,NA,NA
Mojeno_Trinitario,nonfinal,0.0918359741255303,1.143764459915299,1.2356004340408286,NA,0.1491748106462312,0.08953550190257133,NA,restricted,0.0928888888888894,vln_mod_mono_full,1.2584004645193048,1.238682584704387,-0.019717879814917794,0.08996293545038188,0.14897040002291445,NA,NA
Dalabon,nonfinal,NA,NA,NA,1.1845116862621419,NA,NA,0.0787530153167961,none,0.06889473684210363,vln_mod_mono_full,NA,NA,NA,NA,NA,1.3012118039972265,0.0742814273097141
Dalabon,final,NA,NA,NA,1.1845116862621419,NA,NA,0.0787530153167961,none,0.06889473684210363,vln_mod_mono_full,NA,NA,NA,NA,NA,1.0454957691248268,0.07890079517547359
English,nonfinal,NA,NA,NA,0.976785767535375,NA,NA,0.09483362272393717,none,0.0808645833333325,vln_mod_mono_full,NA,NA,NA,NA,NA,1.0439168311866531,0.09270665649504069
